id,cluster_id,irradiance,farm_type,capacity,capacity_factor,power_generation,estimated_cost
6346,2,6.215775013,small_community,0.15,0.259,340.313682,399000
6347,2,6.227117062,large_residential,0.015,0.259,34.09346591,39900
6348,2,6.114753246,large_community,5.0,0.255,11159.42467,13300000
6349,2,6.103395939,small_utility,5.0,0.254,11138.69759,13300000
6350,2,6.087807178,medium_residential,0.01,0.254,22.2204962,26600
6351,13,5.955469608,small_residential,0.005,0.248,10.86873203,13300
6352,13,5.977533817,large_residential,0.015,0.249,32.72699765,39900
6353,13,5.977533817,large_residential,0.015,0.249,32.72699765,39900
6354,13,6.005342007,large_residential,0.015,0.25,32.87924749,39900
6355,13,5.979534149,medium_residential,0.01,0.249,21.82529964,26600
6356,13,5.97578001,large_residential,0.015,0.249,32.71739555,39900
6357,13,5.97578001,large_utility,2000.0,0.249,4362319.407,5320000000
6358,13,5.920793533,large_community,5.0,0.247,10805.4482,13300000
6359,13,5.920793533,large_utility,2000.0,0.247,4322179.279,5320000000
6360,13,5.903074741,large_residential,0.015,0.246,32.31933421,39900
6361,13,5.87997961,medium_community,2.0,0.245,4292.385115,5320000
6362,13,5.8768363,medium_residential,0.01,0.245,21.4504525,26600
6363,13,5.889900684,medium_residential,0.01,0.245,21.4981375,26600
6364,13,5.822298527,small_utility,5.0,0.243,10625.69481,13300000
6365,13,5.822298527,large_residential,0.015,0.243,31.87708444,39900
6366,13,5.861869335,large_utility,2000.0,0.244,4279164.615,5320000000
6367,13,5.885888577,small_utility,5.0,0.245,10741.74665,13300000
6368,13,5.885888577,large_utility,2000.0,0.245,4296698.661,5320000000
6369,13,5.904493332,small_community,0.15,0.246,323.2710099,399000
6370,13,5.904493332,small_utility,5.0,0.246,10775.70033,13300000
6371,13,5.900896549,small_utility,5.0,0.246,10769.1362,13300000
6372,13,5.900896549,medium_utility,500.0,0.246,1076913.62,1330000000
6373,13,5.827731609,large_residential,0.015,0.243,31.90683056,39900
6374,13,5.827731609,large_utility,2000.0,0.243,4254244.075,5320000000
6375,13,5.827460766,small_utility,5.0,0.243,10635.1159,13300000
6376,13,5.829930782,large_community,5.0,0.243,10639.62368,13300000
