id,lat,long,state,farm_type,irradiance,lcoe,capacity,capacity_factor,array_area,available_solar_resource,generated_energy,cost
48,26.35376,-97.568329,Texas,large_community,5.590576649,39,5,0.233,92123.13712,21.45922747,6132,4782960
49,26.348686,-98.554779,Texas,medium_utility,5.785343647,39,500,0.241,8606667.842,2074.688797,613200,478296000
50,26.349251,-98.535065,Texas,medium_residential,5.785343647,39,0.01,0.241,172.1333568,0.041493776,12.264,9565.92
51,26.349804,-98.51535,Texas,large_residential,5.873007298,39,0.015,0.245,250.1934155,0.06122449,18.396,14348.88
52,26.355644,-98.298462,Texas,small_residential,5.723468304,39,0.005,0.238,88.09373161,0.021008403,6.132,4782.96
53,26.363636,-97.963196,Texas,large_residential,5.695086002,39,0.015,0.237,266.718947,0.063291139,18.396,14348.88
54,26.36964,-97.667358,Texas,medium_community,5.690555096,39,2,0.237,35590.84169,8.438818565,2452.8,1913184
55,26.370014,-97.647614,Texas,medium_residential,5.690555096,39,0.01,0.237,177.9542085,0.042194093,12.264,9565.92
56,26.366909,-98.535706,Texas,medium_residential,5.784004211,39,0.01,0.241,172.1732188,0.041493776,12.264,9565.92
57,26.386578,-97.707214,Texas,small_community,5.725563526,39,0.15,0.239,2630.791089,0.627615063,183.96,143488.8
58,26.391113,-97.450684,Texas,medium_residential,5.643733501,39,0.01,0.235,180.9576224,0.042553191,12.264,9565.92
59,26.403873,-97.727356,Texas,medium_residential,5.665372372,39,0.01,0.236,179.5026144,0.042372881,12.264,9565.92
60,26.404263,-97.707642,Texas,small_community,5.63863802,39,0.15,0.235,2716.817232,0.638297872,183.96,143488.8
61,26.421555,-97.727783,Texas,small_residential,5.665372372,39,0.005,0.236,89.75130722,0.021186441,6.132,4782.96
62,26.422306,-97.688324,Texas,small_utility,5.63863802,39,5,0.235,90560.57439,21.27659574,6132,4782960
63,26.43885,-97.747986,Texas,large_community,5.646012783,39,5,0.235,90442.28511,21.27659574,6132,4782960
64,26.439232,-97.72821,Texas,medium_community,5.646012783,39,2,0.235,36176.91405,8.510638298,2452.8,1913184
65,26.43961,-97.708496,Texas,large_residential,5.610660076,39,0.015,0.234,274.2033054,0.064102564,18.396,14348.88
66,26.439983,-97.688721,Texas,medium_community,5.610660076,39,2,0.234,36560.44072,8.547008547,2452.8,1913184
67,26.440369,-97.669006,Texas,large_community,5.69562912,39,5,0.237,88897.83784,21.09704641,6132,4782960
68,26.440723,-97.649231,Texas,large_residential,5.69562912,39,0.015,0.237,266.6935135,0.063291139,18.396,14348.88
69,26.456909,-97.728638,Texas,large_community,5.646012783,39,5,0.235,90442.28511,21.27659574,6132,4782960
70,26.457287,-97.708893,Texas,large_community,5.610660076,39,5,0.234,91401.10181,21.36752137,6132,4782960
71,26.457668,-97.689148,Texas,small_utility,5.610660076,39,5,0.234,91401.10181,21.36752137,6132,4782960
72,26.458038,-97.669403,Texas,large_utility,5.69562912,39,2000,0.237,35559135.14,8438.818565,2452800,1913184000
73,26.458393,-97.649658,Texas,small_utility,5.69562912,39,5,0.237,88897.83784,21.09704641,6132,4782960
74,26.441883,-98.973114,Texas,small_community,5.865982056,39,0.15,0.244,2515.196641,0.614754098,183.96,143488.8
75,26.442532,-98.953369,Texas,large_community,5.917598724,39,5,0.247,82099.17268,20.24291498,6132,4782960
76,26.474594,-97.729065,Texas,small_community,5.633881092,39,0.15,0.235,2719.111157,0.638297872,183.96,143488.8
77,26.474976,-97.70932,Texas,large_residential,5.600736141,39,0.015,0.233,275.8680893,0.064377682,18.396,14348.88
78,26.475349,-97.689575,Texas,medium_residential,5.600736141,39,0.01,0.233,183.9120595,0.042918455,12.264,9565.92
79,26.475712,-97.6698,Texas,large_community,5.670271397,39,5,0.236,89673.76351,21.18644068,6132,4782960
80,26.476097,-97.650055,Texas,small_community,5.670271397,39,0.15,0.236,2690.212905,0.63559322,183.96,143488.8
81,26.458904,-98.993591,Texas,large_community,5.865982056,39,5,0.244,83839.88802,20.49180328,6132,4782960
82,26.459553,-98.973846,Texas,large_residential,5.865982056,39,0.015,0.244,251.5196641,0.06147541,18.396,14348.88
83,26.460209,-98.954102,Texas,medium_residential,5.917598724,39,0.01,0.247,164.1983454,0.04048583,12.264,9565.92
84,26.491894,-97.749268,Texas,medium_utility,5.633881092,39,500,0.235,9063703.858,2127.659574,613200,478296000
85,26.492275,-97.729492,Texas,medium_utility,5.633881092,39,500,0.235,9063703.858,2127.659574,613200,478296000
86,26.492661,-97.709747,Texas,large_community,5.600736141,39,5,0.233,91956.02975,21.45922747,6132,4782960
87,26.493034,-97.690002,Texas,small_residential,5.600736141,39,0.005,0.233,91.95602975,0.021459227,6.132,4782.96
88,26.493404,-97.670227,Texas,large_utility,5.670271397,39,2000,0.236,35869505.4,8474.576271,2452800,1913184000
89,26.493767,-97.650452,Texas,small_utility,5.670271397,39,5,0.236,89673.76351,21.18644068,6132,4782960
90,26.494133,-97.630707,Texas,medium_residential,5.68944788,39,0.01,0.237,177.9888399,0.042194093,12.264,9565.92
91,26.476582,-98.994324,Texas,large_community,5.878709316,39,5,0.245,83316.91398,20.40816327,6132,4782960
92,26.477222,-98.974579,Texas,medium_residential,5.878709316,39,0.01,0.245,166.633828,0.040816327,12.264,9565.92
93,26.479176,-98.915344,Texas,medium_community,5.847761631,39,2,0.244,33640.44636,8.196721311,2452.8,1913184
94,26.503742,-98.026367,Texas,medium_community,5.722691059,39,2,0.238,35242.27853,8.403361345,2452.8,1913184
95,26.504189,-98.006622,Texas,large_utility,5.722691059,39,2000,0.238,35242278.53,8403.361345,2452800,1913184000
96,26.509583,-97.749695,Texas,medium_residential,5.633881092,39,0.01,0.235,181.2740772,0.042553191,12.264,9565.92
97,26.509972,-97.729919,Texas,small_residential,5.633881092,39,0.005,0.235,90.63703858,0.021276596,6.132,4782.96
98,26.510357,-97.710175,Texas,large_utility,5.64455986,39,2000,0.235,36186226.07,8510.638298,2452800,1913184000
99,26.511463,-97.650879,Texas,large_utility,5.6929245,39,2000,0.237,35576028.73,8438.818565,2452800,1913184000
100,26.494244,-98.995056,Texas,small_residential,5.878709316,39,0.005,0.245,83.31691398,0.020408163,6.132,4782.96
101,26.494907,-98.975311,Texas,large_community,5.878709316,39,5,0.245,83316.91398,20.40816327,6132,4782960
102,26.496861,-98.916046,Texas,small_utility,5.847761631,39,5,0.244,84101.1159,20.49180328,6132,4782960
103,26.497494,-98.896301,Texas,small_utility,5.847761631,39,5,0.244,84101.1159,20.49180328,6132,4782960
104,26.520977,-98.046631,Texas,small_residential,5.697517872,39,0.005,0.237,88.86836782,0.021097046,6.132,4782.96
105,26.52142,-98.026855,Texas,medium_residential,5.674033642,39,0.01,0.236,179.2286082,0.042372881,12.264,9565.92
106,26.521866,-98.007111,Texas,medium_community,5.674033642,39,2,0.236,35845.72164,8.474576271,2452.8,1913184
107,26.511929,-98.995789,Texas,medium_utility,5.865236759,39,500,0.244,8385054.157,2049.180328,613200,478296000
