lat,long,irradiance,farm_type
25.896492,-97.460358,5.634078502655029,onshore
26.032654,-97.738098,5.61641263961792,onshore
26.059063,-97.208252,5.746738433837891,onshore
26.078449,-98.073364,5.742195606231689,onshore
26.143227,-98.31134,5.817186832427979,onshore
26.14904,-98.075409,5.701752185821533,onshore
26.180355,-97.367737,5.720003604888916,onshore
26.254963,-98.078491,5.730308055877686,onshore
26.27216,-98.098694,5.734212875366211,onshore
26.272625,-98.078979,5.755139827728271,onshore
26.289829,-98.099182,5.734212875366211,onshore
26.290295,-98.079498,5.755139827728271,onshore
26.300041,-97.606567,5.604592800140381,onshore
26.300404,-97.586884,5.669364929199219,onshore
26.300758,-97.567169,5.669364929199219,onshore
26.306557,-98.13913,5.736873626708984,onshore
26.30703,-98.119415,5.734212875366211,onshore
26.307491,-98.099731,5.734212875366211,onshore
26.316261,-97.685822,5.692050933837891,onshore
26.316639,-97.666107,5.702950000762939,onshore
26.317005,-97.646393,5.702950000762939,onshore
26.317719,-97.606995,5.687242031097412,onshore
26.318073,-97.58728,5.612900257110596,onshore
26.31842,-97.567566,5.612900257110596,onshore
26.318764,-97.547852,5.586105823516846,onshore
26.320305,-98.297333,5.756000995635986,onshore
26.324219,-98.139648,5.741298198699951,onshore
26.324692,-98.119934,5.760225772857666,onshore
26.328297,-97.96225,5.739746570587158,onshore
26.333931,-97.686249,5.692050933837891,onshore
26.334301,-97.666504,5.702950000762939,onshore
26.334675,-97.64679,5.702950000762939,onshore
26.335033,-97.627075,5.687242031097412,onshore
26.335381,-97.607361,5.687242031097412,onshore
26.335735,-97.587646,5.612900257110596,onshore
26.33609,-97.567932,5.612900257110596,onshore
26.337463,-98.317627,5.756000995635986,onshore
26.337975,-98.297913,5.756000995635986,onshore
26.338482,-98.278198,5.775848388671875,onshore
26.345535,-97.982452,5.739746570587158,onshore
26.345959,-97.962738,5.739746570587158,onshore
26.346397,-97.942993,5.70005989074707,onshore
26.351608,-97.686646,5.725563526153564,onshore
26.351978,-97.666931,5.690555095672607,onshore
26.352352,-97.647217,5.690555095672607,onshore
26.352703,-97.627502,5.723421573638916,onshore
26.353062,-97.607758,5.723421573638916,onshore
26.353413,-97.588043,5.590576648712158,onshore
26.35376,-97.568329,5.590576648712158,onshore
26.348686,-98.554779,5.785343647003174,onshore
26.349251,-98.535065,5.785343647003174,onshore
26.349804,-98.51535,5.873007297515869,onshore
26.355644,-98.298462,5.72346830368042,onshore
26.363636,-97.963196,5.695086002349854,onshore
26.36964,-97.667358,5.690555095672607,onshore
26.370014,-97.647614,5.690555095672607,onshore
26.366909,-98.535706,5.784004211425781,onshore
26.386578,-97.707214,5.725563526153564,onshore
26.391113,-97.450684,5.643733501434326,onshore
26.403873,-97.727356,5.665372371673584,onshore
26.404263,-97.707642,5.638638019561768,onshore
26.421555,-97.727783,5.665372371673584,onshore
26.422306,-97.688324,5.638638019561768,onshore
26.43885,-97.747986,5.646012783050537,onshore
26.439232,-97.72821,5.646012783050537,onshore
26.43961,-97.708496,5.610660076141357,onshore
26.439983,-97.688721,5.610660076141357,onshore
26.440369,-97.669006,5.695629119873047,onshore
26.440723,-97.649231,5.695629119873047,onshore
26.456909,-97.728638,5.646012783050537,onshore
26.457287,-97.708893,5.610660076141357,onshore
26.457668,-97.689148,5.610660076141357,onshore
26.458038,-97.669403,5.695629119873047,onshore
26.458393,-97.649658,5.695629119873047,onshore
26.441883,-98.973114,5.865982055664062,onshore
26.442532,-98.953369,5.917598724365234,onshore
26.474594,-97.729065,5.633881092071533,onshore
26.474976,-97.70932,5.600736141204834,onshore
26.475349,-97.689575,5.600736141204834,onshore
26.475712,-97.6698,5.670271396636963,onshore
26.476097,-97.650055,5.670271396636963,onshore
26.458904,-98.993591,5.865982055664062,onshore
26.459553,-98.973846,5.865982055664062,onshore
26.460209,-98.954102,5.917598724365234,onshore
26.491894,-97.749268,5.633881092071533,onshore
26.492275,-97.729492,5.633881092071533,onshore
26.492661,-97.709747,5.600736141204834,onshore
26.493034,-97.690002,5.600736141204834,onshore
26.493404,-97.670227,5.670271396636963,onshore
26.493767,-97.650452,5.670271396636963,onshore
26.494133,-97.630707,5.68944787979126,onshore
26.476582,-98.994324,5.878709316253662,onshore
26.477222,-98.974579,5.878709316253662,onshore
26.479176,-98.915344,5.847761631011963,onshore
26.503742,-98.026367,5.722691059112549,onshore
26.504189,-98.006622,5.722691059112549,onshore
26.509583,-97.749695,5.633881092071533,onshore
26.509972,-97.729919,5.633881092071533,onshore
26.510357,-97.710175,5.644559860229492,onshore
26.511463,-97.650879,5.692924499511719,onshore
26.494244,-98.995056,5.878709316253662,onshore
26.494907,-98.975311,5.878709316253662,onshore
26.496861,-98.916046,5.847761631011963,onshore
26.497494,-98.896301,5.847761631011963,onshore
26.520977,-98.046631,5.697517871856689,onshore
26.52142,-98.026855,5.674033641815186,onshore
26.521866,-98.007111,5.674033641815186,onshore
26.511929,-98.995789,5.865236759185791,onshore
26.512589,-98.976044,5.865236759185791,onshore
26.513885,-98.936523,5.84758186340332,onshore
26.514542,-98.916779,5.747884273529053,onshore
26.539116,-98.027374,5.674033641815186,onshore
26.539562,-98.007599,5.674033641815186,onshore
25.230484,-80.650879,5.743431568145752,onshore
26.530258,-98.976776,5.865236759185791,onshore
26.531563,-98.937256,5.84758186340332,onshore
26.532219,-98.91748,5.747884273529053,onshore
26.549255,-98.937988,5.84758186340332,onshore
26.549889,-98.918213,5.747884273529053,onshore
26.550545,-98.898438,5.78548002243042,onshore
26.566936,-98.938721,5.886380672454834,onshore
26.567585,-98.918945,5.78548002243042,onshore
26.568222,-98.89917,5.78548002243042,onshore
25.248528,-80.449097,5.944894790649414,onshore
26.584621,-98.939453,5.886380672454834,onshore
26.585262,-98.919647,5.78548002243042,onshore
26.585911,-98.899872,5.78548002243042,onshore
26.588432,-98.82077,5.806488513946533,onshore
26.589054,-98.800995,5.806488513946533,onshore
26.614948,-97.79187,5.634592056274414,onshore
25.368973,-81.037201,5.651126384735107,onshore
26.606121,-98.821472,5.740752696990967,onshore
26.606743,-98.801697,5.740752696990967,onshore
26.607365,-98.781891,5.778432369232178,onshore
26.632248,-97.812134,5.501383304595947,onshore
26.632645,-97.792328,5.531303882598877,onshore
26.633026,-97.772522,5.531303882598877,onshore
26.614647,-99.099182,5.842740535736084,onshore
26.623817,-98.822174,5.740752696990967,onshore
26.624439,-98.802368,5.740752696990967,onshore
26.649937,-97.812561,5.501383304595947,onshore
26.650341,-97.792755,5.531303882598877,onshore
25.410988,-80.968933,5.531114101409912,onshore
25.424965,-80.946167,5.590902805328369,onshore
25.48896,-81.111206,5.622132778167725,onshore
25.469383,-80.996338,5.556755065917969,onshore
25.553825,-81.177094,5.71417760848999,onshore
26.797115,-97.518494,5.649629592895508,onshore
26.797783,-97.478821,5.576107501983643,onshore
26.814491,-97.538727,5.700791835784912,onshore
26.831867,-97.55896,5.515506744384766,onshore
26.84959,-97.559357,5.515506744384766,onshore
26.86731,-97.559753,5.515506744384766,onshore
25.620811,-81.043976,5.564688205718994,onshore
26.885033,-97.56012,5.645912647247314,onshore
25.531357,-80.427124,5.736292362213135,onshore
26.902756,-97.560516,5.645912647247314,onshore
26.903091,-97.540649,5.561819553375244,onshore
25.548622,-80.42334,5.736292362213135,onshore
25.545227,-80.404236,5.736292362213135,onshore
26.920467,-97.560913,5.631811141967773,onshore
25.708466,-81.244385,5.767451763153076,onshore
25.698769,-81.186737,5.585693359375,onshore
25.565887,-80.419586,5.733324527740479,onshore
26.921883,-98.316711,5.664083480834961,onshore
26.955227,-97.601471,5.554929733276367,onshore
26.955582,-97.581573,5.638816833496094,onshore
26.955929,-97.561676,5.638816833496094,onshore
26.972588,-97.621765,5.554929733276367,onshore
26.972958,-97.601868,5.554929733276367,onshore
26.973305,-97.58197,5.638816833496094,onshore
26.973656,-97.562073,5.638816833496094,onshore
26.973995,-97.542175,5.566592693328857,onshore
26.989964,-97.642059,5.599429607391357,onshore
26.990318,-97.622162,5.646305084228516,onshore
26.990681,-97.602264,5.646305084228516,onshore
26.991032,-97.582367,5.628505706787109,onshore
26.991379,-97.562469,5.628505706787109,onshore
26.991726,-97.542542,5.66301965713501,onshore
27.00769,-97.642456,5.602842330932617,onshore
27.008053,-97.622559,5.646305084228516,onshore
27.008411,-97.602661,5.646305084228516,onshore
27.00877,-97.582764,5.628505706787109,onshore
27.009117,-97.562836,5.628505706787109,onshore
27.009464,-97.542938,5.66301965713501,onshore
27.025795,-97.622955,5.646305084228516,onshore
27.026146,-97.603058,5.646305084228516,onshore
27.026501,-97.58313,5.628505706787109,onshore
27.02684,-97.563232,5.628505706787109,onshore
27.027195,-97.543335,5.66301965713501,onshore
27.043888,-97.603455,5.594479084014893,onshore
27.044231,-97.583527,5.650405406951904,onshore
27.044594,-97.563629,5.650405406951904,onshore
27.044933,-97.543701,5.636257171630859,onshore
27.061962,-97.583923,5.650405406951904,onshore
27.062325,-97.564026,5.650405406951904,onshore
27.06266,-97.544098,5.636257171630859,onshore
27.063,-97.52417,5.636257171630859,onshore
27.048206,-98.858917,5.823656558990479,onshore
27.048847,-98.83902,5.774646282196045,onshore
27.049461,-98.819092,5.774646282196045,onshore
27.079357,-97.604248,5.557097911834717,onshore
27.079712,-97.58432,5.611459732055664,onshore
27.08007,-97.564392,5.611459732055664,onshore
27.080402,-97.544495,5.675049304962158,onshore
27.080753,-97.524536,5.675049304962158,onshore
27.065937,-98.859619,5.823656558990479,onshore
27.066566,-98.839722,5.774646282196045,onshore
27.067192,-98.819794,5.774646282196045,onshore
27.09745,-97.584717,5.611459732055664,onshore
27.097805,-97.564789,5.611459732055664,onshore
27.098141,-97.544861,5.675049304962158,onshore
27.098484,-97.524933,5.675049304962158,onshore
27.084297,-98.840424,5.809427738189697,onshore
27.084927,-98.820496,5.768878936767578,onshore
27.108585,-97.92395,5.581815242767334,onshore
27.109001,-97.904022,5.525371074676514,onshore
27.109432,-97.884094,5.525371074676514,onshore
27.115196,-97.585114,5.618663311004639,onshore
27.115551,-97.565186,5.618663311004639,onshore
27.115887,-97.545258,5.667853832244873,onshore
27.126324,-97.924438,5.495424747467041,onshore
27.126755,-97.90448,5.585071563720703,onshore
27.127178,-97.884552,5.585071563720703,onshore
27.127579,-97.864624,5.555887699127197,onshore
25.735397,-80.163147,5.679401397705078,onshore
27.144066,-97.924927,5.495424747467041,onshore
27.144489,-97.904968,5.585071563720703,onshore
27.144909,-97.88504,5.585071563720703,onshore
27.142403,-98.683105,5.689155101776123,onshore
25.797523,-80.30899,5.606077671051025,onshore
25.787216,-80.251404,5.600361347198486,onshore
25.783775,-80.232208,5.740956783294678,onshore
25.780312,-80.213013,5.740956783294678,onshore
27.159546,-98.703674,5.825300216674805,onshore
27.160145,-98.683746,5.825300216674805,onshore
27.160725,-98.663818,5.777421474456787,onshore
26.051334,-81.692474,5.747537612915039,onshore
25.821678,-80.343567,5.582433700561523,onshore
25.818245,-80.324371,5.582433700561523,onshore
25.814812,-80.305176,5.606077671051025,onshore
25.804489,-80.247559,5.664466381072998,onshore
25.794136,-80.189972,5.775526523590088,onshore
27.169785,-98.943665,5.747880935668945,onshore
27.177288,-98.704376,5.825300216674805,onshore
27.177876,-98.684418,5.825300216674805,onshore
27.178478,-98.66449,5.777421474456787,onshore
25.838959,-80.339783,5.613239765167236,onshore
25.811432,-80.186157,5.775526523590088,onshore
27.195026,-98.705048,5.770179271697998,onshore
27.195629,-98.685089,5.770179271697998,onshore
27.196217,-98.665161,5.75136137008667,onshore
25.85968,-80.355194,5.613239765167236,onshore
25.828712,-80.182312,5.775526523590088,onshore
25.825256,-80.163086,5.775526523590088,onshore
25.876968,-80.351379,5.624497890472412,onshore
25.845993,-80.178467,5.789461612701416,onshore
25.842537,-80.159241,5.802595615386963,onshore
27.229317,-98.746307,5.735169887542725,onshore
25.911339,-80.443726,5.548397541046143,onshore
25.894272,-80.347595,5.624497890472412,onshore
25.863281,-80.174622,5.789461612701416,onshore
27.239429,-98.986511,5.816857814788818,onshore
27.240093,-98.966553,5.816857814788818,onshore
27.246452,-98.766968,5.798568248748779,onshore
27.247059,-98.747009,5.734337329864502,onshore
27.247662,-98.72702,5.734337329864502,onshore
25.928635,-80.439941,5.483583927154541,onshore
25.925247,-80.420715,5.483583927154541,onshore
25.911568,-80.34375,5.592875957489014,onshore
25.880562,-80.170776,5.799813747406006,onshore
27.255836,-99.027191,5.843627452850342,onshore
27.257175,-98.987244,5.816857814788818,onshore
27.257839,-98.967285,5.816857814788818,onshore
27.258495,-98.947327,5.818783283233643,onshore
27.264198,-98.767639,5.798568248748779,onshore
27.264805,-98.747681,5.734337329864502,onshore
27.265419,-98.727722,5.734337329864502,onshore
25.945953,-80.436157,5.483583927154541,onshore
25.932297,-80.359192,5.592875957489014,onshore
25.928856,-80.339966,5.592875957489014,onshore
27.272919,-99.047913,5.80355978012085,onshore
27.27359,-99.027954,5.805077075958252,onshore
27.276237,-98.948059,5.793463230133057,onshore
27.276894,-98.928101,5.793463230133057,onshore
27.27882,-98.868195,5.793385028839111,onshore
27.281948,-98.768341,5.852358341217041,onshore
27.282551,-98.748352,5.812918186187744,onshore
27.283157,-98.728394,5.812918186187744,onshore
27.294647,-98.928833,5.793463230133057,onshore
27.295296,-98.908844,5.818461894989014,onshore
27.295921,-98.888885,5.818461894989014,onshore
27.296574,-98.868896,5.793385028839111,onshore
27.297207,-98.848938,5.793385028839111,onshore
27.307732,-99.069397,5.80355978012085,onshore
27.313038,-98.909576,5.744997501373291,onshore
27.314323,-98.869629,5.777888774871826,onshore
27.34866,-97.430267,5.665602207183838,onshore
26.092567,-80.864502,5.631869792938232,onshore
27.349186,-98.891052,5.744997501373291,onshore
26.113209,-80.880127,5.541569232940674,onshore
26.109901,-80.86084,5.631869792938232,onshore
27.366936,-98.891785,5.779319286346436,onshore
27.36758,-98.871765,5.738156795501709,onshore
26.127235,-80.857117,5.55804443359375,onshore
27.384693,-98.892487,5.779319286346436,onshore
27.385345,-98.872498,5.738156795501709,onshore
27.385967,-98.852478,5.738156795501709,onshore
26.286648,-81.705109,5.682081699371338,onshore
27.403111,-98.873199,5.810209274291992,onshore
27.466602,-97.793365,5.591361522674561,onshore
27.483978,-97.813843,5.623818874359131,onshore
27.484375,-97.793823,5.597940921783447,onshore
27.484779,-97.773773,5.597940921783447,onshore
26.217274,-80.857971,5.558770656585693,onshore
27.470242,-98.996216,5.834478855133057,onshore
27.470905,-98.976196,5.834478855133057,onshore
26.237942,-80.873596,5.602420330047607,onshore
